"site","zone","transect","plot","dist.on.transect","ID","treatment","herb.treat","tussock.treat","organic.depth","non.vascular","moss","lichen","mineral","organic","rock","shrub","excrement","forb","graminoid","vegetation..sum.of.shrub..gram..forb.","litter","other","total","nat.seedling.sp.y0","nat.seedling.count.y0","nat.seedling.sp.y1","nat.seedling.count.y1","nat.seedling.sp.y2","nat.seedling.count.y2","exp.seedling.sp","exp.seedling.count.y1","exp.seedling.count.y2","exp.seedling.count.y3","exp.seedling.dead","exp.seedling.missing","germ.y1","surv.yr1","germ.y2","surv.yr2","dead.yr2","surv.seedlings.yr2","tot.surv.yr2","germ.y3","surv.yr3","utm.zone","easting","northing","plot.photo","scar.photo","date.seeded","date.counted.yr1","date.counted.yr2","date.counted.yr3","comment","provenance","start.year","exp.duration","subplot","uniquePlot","seedT","scarT","seeds.per.plot"
"12 Mile","AT",2,"14",7.77,"","SD","nonex","",9,90,0,90,0,"10",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_14",1,0,769
"12 Mile","AT",2,"15",8.16,"","SC","nonex","",50,97,95,2,0,"3",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_15",0,1,769
"12 Mile","AT",2,"16",8.68,"","SD","nonex","",29,100,30,70,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_16",1,0,769
"12 Mile","AT",2,"17",9.59,"","SC","nonex","",50,70,60,10,0,"30",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_17",0,1,769
"12 Mile","AT",2,"18",10.09,"","SC","nonex","",16,100,5,95,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_18",0,1,769
"12 Mile","AT",2,"19",11.06,"","CN","nonex","",17,80,60,20,0,"20",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_19",0,0,769
"12 Mile","AT",2,"20",11.37,"","CN","nonex","",50,100,95,5,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547261,7253485,"",NA,20130917,"","","","","high",2013,2,NA,"12 Mile_AT_2_20",0,0,769
"12 Mile","AT",3,"21",12.13,"","SS","nonex","",13,99,0,99,0,"1",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_21",1,1,769
"12 Mile","AT",3,"22",12.59,"","CN","nonex","",14,100,20,80,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_22",0,0,769
"12 Mile","AT",3,"23",13.41,"","SD","nonex","",NA,100,40,60,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_23",1,0,769
"12 Mile","AT",3,"24",13.62,"","SC","nonex","",50,90,90,0,0,"10",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_24",0,1,769
"12 Mile","AT",3,"25",14.31,"","SS","nonex","",50,95,95,0,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_25",1,1,769
"12 Mile","AT",3,"26",14.67,"","CN","nonex","",50,95,95,0,0,"5",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_26",0,0,769
"12 Mile","AT",3,"27",15.28,"","SD","nonex","",50,100,85,15,0,"0",0,0,NA,0,0,0,NA,0,100,"",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,"06W",547248,7253481,"",NA,20130917,"","","","","low",2013,2,NA,"12 Mile_AT_3_27",1,0,769
