"site","zone","transect","plot","dist.on.transect","ID","treatment","herb.treat","tussock.treat","organic.depth","non.vascular","moss","lichen","mineral","organic","rock","shrub","excrement","forb","graminoid","vegetation..sum.of.shrub..gram..forb.","litter","other","total","nat.seedling.sp.y0","nat.seedling.count.y0","nat.seedling.sp.y1","nat.seedling.count.y1","nat.seedling.sp.y2","nat.seedling.count.y2","exp.seedling.sp","exp.seedling.count.y1","exp.seedling.count.y2","exp.seedling.count.y3","exp.seedling.dead","exp.seedling.missing","germ.y1","surv.yr1","germ.y2","surv.yr2","dead.yr2","surv.seedlings.yr2","tot.surv.yr2","germ.y3","surv.yr3","utm.zone","easting","northing","plot.photo","scar.photo","date.seeded","date.counted.yr1","date.counted.yr2","date.counted.yr3","comment","provenance","start.year","exp.duration"
"12 Mile","AT","2.0","18","10.09","","SC","nonex","","16.00","100","5","95","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","19","11.06","","CN","nonex","","17.00","80","60","20","0","20","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","2.0","20","11.37","","CN","nonex","","50.00","100","95","5","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547261.0","7253485","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","21","12.13","","SS","nonex","","13.00","99","0","99","0","1","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","22","12.59","","CN","nonex","","14.00","100","20","80","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","23","13.41","","SD","nonex","",NA,"100","40","60","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","24","13.62","","SC","nonex","","50.00","90","90","0","0","10","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","25","14.31","","SS","nonex","","50.00","95","95","0","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","26","14.67","","CN","nonex","","50.00","95","95","0","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","27","15.28","","SD","nonex","","50.00","100","85","15","0","0","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
"12 Mile","AT","3.0","28","16.14","","CN","nonex","","16.00","95","90","5","0","5","0","0",NA,"0","0","0",NA,"0","100","",NA,"",NA,"",NA,"Picea glauca",NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",NA,NA,"06W","547248.0","7253481","",NA,"20130917","","","","","","2013","2"
